date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:52	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Jul%202017%2012:05:14%20GMT	https://www.faucethub.info/robots.txt		(from )
19:05:19	8060/8060	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202017%2012:05:41%20GMT	https://www.faucethub.info/	C:/My%20Web%20Sites/faucethub/www.faucethub.info/index.html	(from )
19:05:30	5061/5061	---MC-	525	error ('Origin%20SSL%20Handshake%20Error')	text/html	date:Sun,%2030%20Jul%202017%2012:05:53%20GMT	https://www.faucethub.info/assets/img/facebook.jpeg	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/facebook.0.delayed	(from https://www.faucethub.info/)
19:05:31	101/101	---M--	200	added ('OK')	image/png	etag:%2265-5504952bf71db%22	https://www.faucethub.info/assets/img/favicon.png	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/favicon.png	(from https://www.faucethub.info/)
19:05:46	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%221d9ac-55047507d3a4d%22	https://www.faucethub.info/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/css/bootstrap.min.css	(from https://www.faucethub.info/)
19:06:01	4393/4393	---MCZ	200	added ('OK')	text/css	etag:W/%221129-5504750322881%22	https://www.faucethub.info/assets/css/ember.css	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/css/ember.css	(from https://www.faucethub.info/)
19:06:16	384/384	---MCZ	200	added ('OK')	text/css	etag:W/%221fa-55047b093fc44%22	https://www.faucethub.info/assets/css/cards.css	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/css/cards.css	(from https://www.faucethub.info/)
19:07:03	1132/1132	---M--	200	added ('OK')	image/png	etag:%2246c-550496e4164b8%22	https://www.faucethub.info/assets/img/logo.png	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/logo.png	(from https://www.faucethub.info/)
19:07:03	4066/4066	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202017%2012:07:25%20GMT	https://www.faucethub.info/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/faucethub/www.faucethub.info/cdn-cgi/l/email-protection.html	(from https://www.faucethub.info/)
19:08:04	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:08:26%20GMT	https://www.faucethub.info/bitcoin	C:/My%20Web%20Sites/faucethub/www.faucethub.info/bitcoin	(from https://www.faucethub.info/)
19:08:20	5949/5949	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:08:42%20GMT	https://www.faucethub.info/assets/img/bitcoin.jpg	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/bitcoin.8.delayed	(from https://www.faucethub.info/)
19:08:20	25112/25112	---M--	200	added ('OK')	image/jpeg	etag:%226218-55047d9413a1d%22	https://www.faucethub.info/assets/img//dogecoin.jpg	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/dogecoin.jpg	(from https://www.faucethub.info/)
19:09:01	5243/5243	---MC-	523	error ('Origin%20Unreachable')	text/html	date:Sun,%2030%20Jul%202017%2012:09:23%20GMT	https://www.faucethub.info/dogecoin	C:/My%20Web%20Sites/faucethub/www.faucethub.info/dogecoin	(from https://www.faucethub.info/)
19:09:01	24117/24117	---M--	200	added ('OK')	image/jpeg	etag:%225e35-55047d9338e4a%22	https://www.faucethub.info/assets/img/litecoin.jpg	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/litecoin.jpg	(from https://www.faucethub.info/)
19:09:41	9361/9361	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202017%2012:10:03%20GMT	https://www.faucethub.info/litecoin	C:/My%20Web%20Sites/faucethub/www.faucethub.info/litecoin.html	(from https://www.faucethub.info/)
19:09:57	101/101	---M--	200	added ('OK')	image/png	etag:%2265-5504952c6d463%22	https://www.faucethub.info/assets/img/footlogo.png	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/img/footlogo.png	(from https://www.faucethub.info/)
19:09:57	30071/30071	---MC-	200	added ('OK')	text/javascript	date:Tue,%2006%20Jun%202017%2000:25:39%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/faucethub/www.google-analytics.com/analytics.js	(from https://www.faucethub.info/)
19:09:57	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/faucethub/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://www.faucethub.info/)
19:10:13	36816/36816	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fd0-5504751be9f7b%22	https://www.faucethub.info/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/js/bootstrap.min.js	(from https://www.faucethub.info/)
19:10:14	22335/22335	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573f-554bfd0ba24cc%22	https://coinzilla.io/serve/jslib/fb.js	C:/My%20Web%20Sites/faucethub/coinzilla.io/serve/jslib/fb.js	(from https://www.faucethub.info/)
19:10:18	352499/352499	---MCZ	200	added ('OK')	text/javascript	etag:%22560f3-552e10c2dca40%22	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/faucethub/s7.addthis.com/js/300/addthis_widget.js	(from https://www.faucethub.info/)
19:10:29	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:10:52%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.13.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
19:10:45	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:11:07%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.14d41d.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
19:11:00	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:11:22%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.15.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
19:11:15	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:11:37%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.16.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
19:11:30	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:11:53%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.17.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
19:11:46	5296/5296	---MC-	522	error ('Origin%20Connection%20Time-out')	text/html	date:Sun,%2030%20Jul%202017%2012:12:08%20GMT	https://www.faucethub.info/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/faucethub/www.faucethub.info/assets/fonts/glyphicons-halflings-regular.18.delayed	(from https://www.faucethub.info/assets/css/bootstrap.min.css)
